Sample;Density;ModulusOfElasticity
Beryllium Cupro-Nickel, UNS C96600, Copper Casting Alloy;8.8;150.0
Leaded Nickel Bronze, UNS C97600, Copper Casting Alloy;8.9;130.0
Leaded Nickel Bronze, UNS C97800, Copper Casting Alloy;8.86;130.0
Nondezincification Alloy, UNS C99400, Copper Casting Alloy;8.3;133.0
Beryllium Copper Nickel 72C Casting Alloy, As-cast and Aged;8.6;150.0
Titanium Copper (TiCuR1), 1/4 Hard Temper;8.7;127.0
Ampco Metal AMPCO 8 Aluminum Bronze, Extruded and Drawn Rods, ≤ 12.7 mm.;7.95;124.0
Ampco Metal AMPCO M4 Nickel-Aluminum Bronze, Extrusion, ≤ 25.4 mm.;7.45;124.0
Ampco Metal AMPCOLOY 940 Nickel-Copper, Extrusion, ≤ 25 mm.;8.71;131.0
Ampco Metal AMPCOLOY 944 MoldMATE Nickel-Copper;8.69;151.0
Ampco Metal AMPCOLOY 972 Chromium-Copper Alloy, Extruded and Drawn Rods, 10 - 25 mm.;8.9;120.0
Ampco Metal CuAl10Ni5Fe4 Aluminum Bronze, Extruded Rod;7.6;121.0
Materion Brush 1915™ Annealed Temper Rod;8.88;124.0
Materion BrushForm 96 Copper-Nickel-Tin Mill Hardened Strip (UNS C72700), TM00;8.91;124.0
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM00;9.0;144.0
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), EHT (TS08);9.0;128.0
Materion ToughMet T3 CX90;8.94;128.0
Materion MoldMAX V Copper Alloy Plate;8.69;130.0
Materion BrushCAST 165C High Strength Casting Alloy (As Cast);8.41;131.0
Materion BrushCAST 20C High Strength Casting Alloy (As Cast);8.3;131.0
Materion BrushCAST 275C High Strength Casting Alloy (As Cast);8.14;131.0
Cadi C17500 Copper Alloy;8.75;131.0
Forging Brass, UNS C37700;8.44;105.0
Architectural Bronze, UNS C38000;8.4;97.0
CLAL-MSX ARCAP Anticorrosion AP1 0 Annealed, Rolled Copper Alloy;8.8;166.5
Architectural Bronze, UNS C38500;8.47;97.0
CLAL-MSX ARCAP Anticorrosion AP4 0 Annealed, Rolled Copper Alloy;8.91;145.0
Copper, UNS C40800;8.86;110.0
CLAL-MSX CUPROROR TL1 1/4 hard, Copper Alloy;8.9;140.0
CLAL-MSX NICLAL 1300 0 Annealed Copper Alloy, Free Cutting Nickel-Silver;8.65;130.0
Copper, UNS C43000;8.75;114.5
Eagle Brass 19010 XP-150 Copper Nickel Silicon, 3/4 Hard;8.91;128.0
Eagle Brass 194 HSM Copper, Annealed;8.91;121.0
Copper, UNS C43400;8.75;110.0
Eagle Brass 7026 Copper Nickel, Annealed;8.86;131.0
Copper, UNS C43500;8.66;110.0
Arsenical Admiralty Copper, UNS C44300, OSO25 Temper tubing;8.53;110.0
Eagle Brass 725 Copper Nickel Tin, Annealed;8.89;138.0
Eagle Brass 735 Nickel Silver 18%, Annealed;8.83;124.0
Eagle Brass 752 Nickel Silver 18%, Annealed;8.75;124.0
Eagle Brass 762 Nickel Silver 12%, Annealed;8.58;124.0
Uninhibited Naval brass, UNS C46400, O61 Temper tubing;8.41;100.0
ECOMold 95 Copper Mold Material;8.69;145.0
Goodfellow Manganin Copper Resistance Alloy;8.4;141.5
Goodfellow Awa, Nickeloid, Simlet, Spedex Nickel Silver;8.72;127.5
Goodfellow Phosphor Bronze;8.9;105.0
IBC Advanced Alloys Thermal Mould™ Super Mold and Die Copper Alloy, Beryllium-Free;8.69;128.0
Ametek AM 388™ Alloy (UNS C72650) TM00;8.87;124.0
Alfa Chemistry Materials Copper Nanotubes;8.96;119.0
Medium leaded naval brass, UNS C48200;8.44;100.0
Phosphor bronze 1.25% Sn, UNS C50500, OSO35 Temper, 0.035 mm Grain Size;8.89;117.0
Copper, UNS C50710, H02 Temper strip;8.88;113.0
Phosphor bronze 8% Sn, UNS C52100;8.8;110.0
Phosphor bronze 10% Sn, UNS C52400, OSO35 Temper flat products;8.78;110.0
Free-cutting phosphor bronze, UNS C54400;8.89;103.0
8% Aluminum Bronze, UNS C61000;7.78;117.0
Aluminum Bronze, UNS C61300, O60 Temper;7.89;115.0
Copper, UNS C61500;7.65;112.0
Copper, UNS C62300 (Aluminum Bronze 9%);7.65;115.0
Copper, UNS C62300 (Aluminum Bronze 9%), Cold Finished Rod;7.65;113.0
Copper, UNS C62400 (Aluminum Bronze 11%);7.45;115.0
Copper, UNS C62500;7.21;110.0
Nickel Aluminum Bronze, UNS C63000, HR50 Temper;7.58;115.0
Nickel Aluminum Bronze, UNS C63000, Cold Finished Rod;7.58;117.0
Nickel Aluminum Bronze, UNS C63200;7.64;115.0
Copper, UNS C63600;8.33;110.0
Coronze Copper, UNS C63800, O61 Temper sheet/strip;8.28;117.0
Low-silicon bronze B, UNS C65100, OSO35 Temper rod;8.75;115.0
Copper, UNS C65400, H01 Temper strip;8.55;117.0
Herculoy, High-Silicon Bronze A, UNS C65500, OSO70 Temper flat products;8.53;105.0
Copper, UNS C66400, O60 Temper;8.74;112.0
Manganese Bronze A, UNS C67500;8.63;103.0
Alcoloy Copper, UNS C68800;8.2;116.0
Copper, UNS C69000;8.19;115.0
Silicon Red Brass, UNS C69400;8.19;110.0
Leaded nickel silver 65-8-2, UNS C78200;8.69;117.0
UNS C81300, Copper Casting Alloy;8.81;110.0
UNS C81500, Copper Casting Alloy;8.82;115.0
Contact Metal, UNS C83300, Copper Casting Alloy;8.8;105.0
Leaded Red Brass, UNS C83600, Copper Casting Alloy (Bronze SAE 40);8.83;82.0
Hydraulic Bronze, UNS C83800, Copper Casting Alloy;8.6;92.0
Leaded Semi-Red Brass (Valve Metal), UNS C84400, Copper Casting Alloy;8.7;90.0
Leaded Semi-Red Brass, UNS C84800, Copper Casting Alloy;8.58;105.0
Leaded Yellow Brass, UNS C85200, Copper Casting Alloy;8.5;76.0
Leaded Yellow Brass, UNS C85700, Copper Casting Alloy, Sand and Centrifugal Castings;8.41;97.0
Leaded Yellow Brass, UNS C85800, Copper Casting Alloy, Die Castings;8.41;105.0
Manganese Bronze, UNS C86200, Copper Casting Alloy;7.9;105.0
Manganese Bronze, UNS C86300, Copper Casting Alloy;7.7;105.0
Leaded High-Strength Yellow Brass, UNS C86400, Copper Casting Alloy;8.32;96.0
High-Strength Yellow Brass, UNS C86500, Copper Casting Alloy;8.3;105.5
Leaded High-Strength Yellow Brass, UNS C86700, Copper Casting Alloy;8.32;105.0
Nickel-Manganese Bronze, UNS C86800, Copper Casting Alloy;8.0;105.0
Everdur, UNS C87300, Copper Casting Alloy;8.36;105.0
Low-Zinc Silicon Brass, UNS C87600, Copper Casting Alloy;8.3;115.0
UNS C87610, Copper Casting Alloy;8.4;105.0
Silicon Yellow Brass, UNS C87900, Copper Casting Alloy;8.5;105.0
Tin Bronze UNS C90300, Copper Casting Alloy;8.75;97.0
Tin Bronze, UNS C90500, Copper Casting Alloy;8.72;105.0
Tin Bronze, UNS C90700, Sand castings;8.77;105.0
Nickel Gear Bronze, UNS C91700, Sand Cast;8.75;105.0
Leaded Tin Bronze, UNS C92300, Copper Casting Alloy;8.8;97.0
Leaded Tin Bronze, UNS C92600, Copper Casting Alloy;8.7;105.0
Leaded Nickel-Tin Bronze, UNS C92900, Copper Casting Alloy;8.79;97.0
High-Leaded Tin Bronze, UNS C93200, Copper Casting Alloy, Bearing Bronze SAE 660;8.93;100.0
High-Leaded Tin Bronze, UNS C93400, Copper Casting Alloy;8.87;76.0
High-Leaded Tin Bronze, UNS C93500, Copper Casting Alloy;8.87;100.0
High-Leaded Tin Bronze, UNS C93600, Centrifugal Cast M02;9.0;96.5
High-Leaded Tin Bronze, UNS C93700, Copper Casting Alloy (SAE 64);8.95;82.0
High-Leaded Tin Bronze, UNS C93800, Copper Casting Alloy, Sand-Cast;9.25;72.4
High-Leaded Tin Bronze, UNS C93900, Copper Casting Alloy;9.25;76.0
High-Leaded Tin Bronze, UNS C94300, Copper Casting Alloy;9.29;72.4
Medium Bronze, UNS C94500, Copper Casting Alloy;9.4;72.0
Aluminum Bronze, UNS C95200, Copper Casting Alloy;7.64;105.0
Aluminum Bronze, UNS C95300, Casting Alloy, As Cast;7.53;110.0
Aluminum Bronze, UNS C95400, Copper Casting Alloy, As Cast;7.45;110.0
Aluminum Bronze, UNS C95500 Casting Alloy, TQ50 Temper;7.53;115.0
Aluminum-Silicon Bronze, UNS C95600, Copper Casting Alloy;7.69;105.0
Alpha Nickel-Aluminum Bronze, UNS C95800, Copper Casting Alloy;7.64;110.0
Leaded Nickel Brass, UNS C97300, Copper Casting Alloy;8.95;110.0
White Manganese Brass, UNS C99700, Copper Casting Alloy;8.19;114.0
UNS C99750, Copper Casting Alloy;8.0;117.0
Tin-Bearing Copper (SCuR3), 1/2 Hard Temper;8.94;118.0
Copper Thermocouple Wire Type T - Standard;8.94;117.0
Ampco Metal AMPCO 15 Aluminum Bronze, Extruded Rod, ≤ 12.7 mm.;7.64;117.0
Ampco Metal AMPCO 18 Aluminum Bronze, Extruded and Drawn Rods, ≤ 12.7 mm.;7.45;117.0
Ampco Metal AMPCO 21 Aluminum Bronze, Round, ≤ 50.8 mm.;7.2;110.0
Ampco Metal AMPCO 22 Aluminum Bronze, Extruded Bar;7.06;103.0
Ampco Metal AMPCO 25 Extruded Bar;6.93;110.0
Ampco Metal AMPCO 45 Nickel-Aluminum Bronze, Extruded and Drawn Rods, ≤ 25.4 mm.;7.53;117.0
Ampco Metal AMPCO 483 Aluminum-Nickel Bronze, Extruded Rod, 12.7 - 25.4 mm.;7.64;117.0
Ampco Metal AMPCO 673 Manganese Bronze;8.32;110.0
Ampco Metal AMPCO 674 Manganese Bronze;8.08;110.0
Ampco Metal AMPCO 863 Manganese Bronze, Continuous Cast;7.83;110.0
Ampco Metal AMPCOLOY 30 Leaded Bronze, Continuous Cast;9.1;74.0
Ampco Metal AMPCOLOY 32 Tin leaded Bronze, Continuous Cast;9.0;77.0
Ampco Metal AMPCOLOY 35 Tin Bronze, Continuous Cast;8.8;102.0
Ampco Metal AMPCOLOY 712 Tin Bronze, Continuous Cast;8.6;118.0
Materion ToughMet T2 CX 90;8.91;117.0
CLAL-MSX NICLAL 3444 0 Annealed Copper Alloy, Free Cutting Bronze;8.9;105.0
Eagle Brass 210 Gilding Metal, Annealed;8.86;117.0
Eagle Brass 220 Commercial Bronze, Annealed;8.8;117.0
Eagle Brass 230 Red Brass, Annealed;8.75;117.0
Eagle Brass 425 Tin Brass 2%, Annealed;8.77;110.0
Extra-high-leaded brass, UNS C35600, H01 sheet/strip;8.5;97.0
Free-Cutting Brass, UNS C36000;8.49;97.0
Indium, In;7.3;12.7
Indium Corp. Indalloy 4 Pure Indium Solder;7.31;10.8
Lead, Pb;11.4;14.0
Battery Grid Alloy (Pb-Ca), UNS L50760;11.3;14.0
36Pb-62Sn-2Ag Lead-Tin-Silver Solder, ASTM B 32 Grade Sn62;8.42;23.0
60-40 Soft Solder (60 Sn-40Pb) - ASTM B 32 Grade Sn60;8.6;30.0
Eutectic Solder (63Sn-37Pb) - ASTM B 32 Grade Sn63;8.4;32.0
EOS Flexline NickelAlloy HX DMSL on EOS M 290;8.2;185.0
Indium Corp. Indalloy 97 Pb-Sn-Bi Solder Alloy;8.99;24.5
Indium Corp. Indalloy 106 (Sn63) Sn-Pb Solder Alloy;8.4;30.0
Indium Corp. Indalloy 151 Pb-Sn-Ag Solder Alloy;11.0;13.8
Indium Corp. Indalloy 159 Pb-Sn Solder Alloy;10.8;19.0
Indium Corp. Indalloy 240 Bismuth-Lead-Tin Solder Alloy;8.97;36.4
Indium Corp. Indalloy 130 Tin-Lead Solder Alloy;9.28;23.0
Indium Corp. Indalloy 141 Tin-Lead Solder Alloy;9.72;21.0
Indium Corp. Indalloy 149 Tin-Lead Solder Alloy;10.2;20.0
Indium Corp. Indalloy 170 Pure Lead;11.4;18.0
Magnesium Alloys, General;1.79;45.0
Magnesium AE42-F, Die Cast;1.8;45.0
Magnesium AM100A-T61, Sand Cast;1.83;45.0
Magnesium AM20-F, Die Cast;1.78;45.0
Magnesium AM50A-F, Die Cast;1.77;45.0
Parkway Products Thixomolded AM50A Magnesium;1.77;44.8
Parkway Products Thixomolded AM60A Magnesium;1.8;44.8
Magnesium AZ10A-F, Extruded;1.76;45.0
SAE SiC/AZ91 Magnesium Matrix Composite, as cast;2.4;120.0
Magnesium AZ91C-T6, Cast;1.81;44.8
Magnesium AZ91C-F, Cast;1.81;45.0
Magnesium EA55B-T6, Cast;1.94;45.0
Magnesium EA65B-T6, Cast;1.92;45.0
Magnesium K1A-F, Sand Cast;1.74;38.0
Magnesium LA141, Ultralight Mg-Li Alloy;1.35;42.0
Magnesium LS141, Ultralight Mg-Li Alloy;1.33;41.0
Magnesium QE22A-T6, Cast;1.82;45.0
Magnesium WE43-T6, Cast;1.84;44.2
Magnesium WE54-T6, Cast;1.85;44.4
Magnesium ZC63-T6;1.87;45.0
Magnesium ZC71, As-Extruded;1.83;44.2
Magnesium ZE41A-T5, Cast;1.84;45.0
Magnesium ZH62A-T5, Cast;1.86;45.0
Magnesium Elektron Elektron AZ91E Magnesium Casting Alloy;1.81;44.0
Magnesium Elektron Elektron MSR-B Magnesium Casting Alloy;1.82;44.1
Magnesium Elektron Elektron QE22 Magnesium Casting Alloy;1.81;44.1
Magnesium Elektron Elektron RZ5 Magnesium Casting Alloy;1.84;44.1
Magnesium Elektron Elektron WE54 Magnesium Casting Alloy;1.85;44.1
Magnesium Elektron Elektron 43 Magnesium Alloy;1.83;44.1
Magnesium Elektron Elektron 43 Magnesium Wrought Alloy;1.84;44.0
Magnesium Elektron Elektron RZ5 Magnesium Casting Alloy, UNS M16410;1.82;44.1
Magnesium Elektron Elektron ZA (K1A) Magnesium Zirconium Alloy;1.75;44.1
Magnesium Elektron Elektron ZRE1 Magnesium Alloy, UNS M12330;1.8;44.0
Magnesium Elektron Elektron AZ80A Magnesium Alloy, UNS M11800;1.81;45.0
Magnesium Elektron Elektron AZ31B Magnesium Extrusion Alloy, UNS M11311;1.77;45.0
Molybdenum, Mo, Annealed;10.2;330.0
Molybdenum TZC (Mo-1Ti-0.3Zr);10.1;325.0
Mo-44.5 Re Molybdenum Rhenium Alloy, Annealed;13.5;365.0
Mo-47.5 Re Molybdenum Rhenium Alloy, Deformed;13.5;350.0
CuMoCu 13/74/13;9.9;269.0
NAECO ELKON 100M Pure Molybdenum;10.2;324.0
Elmet Technologies Pure Molybdenum Foil;10.2;317.0
Goodfellow TZM Molybdenum High Temperature Alloy;10.2;320.0
H.C. Starck MoCu 65/35 Molybdenum-Copper Composite Material;9.7;200.0
H.C. Starck MoCu 70/30 Molybdenum-Copper Composite Material;9.8;210.0
H.C. Starck MoCu 80/20 Molybdenum-Copper Composite Material;9.9;220.0
H.C. Starck MoCu 85/15 Molybdenum-Copper Composite Material;10.0;230.0
Plansee MoCu30 Molybdenum-Copper Sheet;9.7;227.5
Nickel, Ni;8.88;207.0
California Fine Wire Nickel A 200 Nickel Alloy;8.91;204.0
Carpenter Custom Age 625 PLUS Nickel-Base Alloy, Aged 732°C (1350°F)/4hr/AC;8.4;207.0
Carlson 330 Austenitic Alloy;7.97;197.0
Carlson 20 Plus Alloy;8.06;193.0
Carlson C 200 Commercially Pure Nickel;8.89;193.0
Carlson C 400 Nickel-Copper Alloy;8.83;179.0
Carlson C 600 Nickel-Chromium-Iron Alloy;8.42;207.0
Carlson C 601 Nickel-Chromium-Iron Alloy;8.11;206.0
Carlson C 800 Nickel-Iron-Chromium Alloy;7.94;197.0
Carlson C 825 Nickel-Iron-Chromium Alloy;8.14;195.0
Crucible Compaction Metals P/M 625 Corrosion Resistant Alloy;8.44;203.0
Kennametal Stellite Deloro 40G;8.2;198.0
Kennametal Stellite Deloro N-6 PM with P/M Processing;8.34;200.0
Eagle Brass 200/201 Nickel Alloy, Annealed;8.89;207.0
Ed Fagan EFI Alloy 79 Soft Magnetic Alloy;8.75;217.0
Goodfellow Evanohm Precision Resistance Nickel Alloy;8.1;221.0
Goodfellow Nickel Base Magnetic Shielding Alloy - Mu Metal;8.8;205.5
Goodfellow Nickel 78/Boron 14/Silicon 8 Alloy;8.0;150.0
Goodfellow Nickel 70/Copper 30 Alloy;8.9;170.0
Goodfellow Nickel/Iron/Silicon/Boron Alloy;7.4;150.0
Goodfellow Nickel 55/Titanium 45 Shape Memory Alloy;6.5;75.0
Goodfellow T1-Thermocouple Alloy;8.5;186.0
Haynes HR-160 alloy, hot rolled and solution annealed plate;8.08;211.0
Haynes 214 alloy, cold rolled annealed sheet 2.0-3.2 mm thick;8.05;218.0
Haynes 230 alloy, cold rolled and 1232°C solution annealed sheet;8.97;211.0
Haynes 242 alloy, bar and rings, annealed and aged;9.05;229.0
Haynes 263 alloy, cold rolled sheet, solution treated and aged;8.36;221.0
Haynes Hastelloy C-276 alloy, solution heat treated flat products;8.89;205.0
Haynes 625 alloy, cold rolled and 1050°C mill-annealed sheet;8.44;208.0
Haynes 718 alloy, cold rolled, solution-treated and aged sheet;8.23;200.0
Haynes Hastelloy C-2000 alloy, flat products;8.5;207.0
Haynes Hastelloy S alloy, flat products;8.75;212.0
Haynes Hastelloy X alloy, sheet;8.22;205.0
Haynes Hastelloy Hybrid-BC1 Nickel Alloy Sheet, Cold Rolled and Solution Annealed;8.83;217.0
Haynes Hastelloy C-22HS Nickel Alloy Sheet, Cold-rolled, Solution Annealed;8.62;223.0
Haynes Hastelloy G-35 Nickel Alloy Sheet, Annealed at 2075°F (1135°C);8.22;204.0
Haynes 75 Nickel Alloy Sheet, Annealed at 1925°F (1050°C);8.37;221.0
Haynes 282 Nickel Alloy Sheet, Solution Annealed and Age-hardened;8.28;217.0
Haynes 282 Nickel Alloy Sheet, Plate and Bar, Solution Annealed;8.27;217.0
Haynes 617 Nickel Alloy Plate;8.36;211.0
Haynes X-750 Nickel Alloy Sheet and Strip (AMS 5598, UNS N07750);8.26;214.0
Haynes Hastelloy B-3 alloy, 0% cold work;9.22;216.0
Haynes Hastelloy C-22 alloy, 0.71-3.2 mm thick sheet, solution heat treated;8.69;206.0
Haynes Hastelloy C-4 alloy, sheet, heat treated at 1066°C, rapid quenched;8.64;211.0
Haynes Hastelloy G-30 alloy, 0.71 mm thick sheet;8.22;202.0
Haynes R-41 alloy, 0.635 mm thick sheet, solution heat treated at 1079°C, water quenched, 30 minutes at 1066°C, aged 16 hours at 760°C (1400°F), air cooled;8.25;185.0
Haynes R-41 alloy, 1.27 mm thick sheet, solution heat treated at 1079°C, water quenched, 30 minutes at 1066°C, aged 16 hours at 760°C (1400°F), air cooled;8.25;222.0
Haynes R-41 alloy, sheet 0.762-2.54 mm exclusive, 30 minutes at 1066°C, air cooled, aged 16 hours at 760°C (1400°F);8.25;218.0
Haynes Waspaloy™ alloy, sheet;8.2;213.0
Special Metals NIMONIC Alloy 86;8.54;210.0
Special Metals INCONEL G-3 Nickel Superalloy (UNS N06985);8.3;199.0
Special Metals INCONEL Alloy 686 Nickel Superalloy Plate (UNS N06686);8.73;207.0
Special Metals INCONEL 690 Nickel Superalloy, Cold Drawn Tube, 0.50 inch (12.7 mm) o.d. and 0.050 inch (1.27 mm) Thickness;8.19;211.0
Special Metals INCONEL 706 Precipitation Hardening Alloy, Cold Rolled Sheet, Solution Treated;8.05;210.0
Special Metals INCONEL 706 Precipitation Hardening Alloy, Cold Rolled Sheet, 3 Part Heat Treatment, 0.040 inch (1.02 mm) Thickness;8.08;210.0
Special Metals INCONEL 718SPF™ Nickel Superalloy, Annealed;8.19;205.0
Special Metals INCONEL 725 Nickel Superalloy (UNS N07725), Annealed Round;8.3;204.0
Special Metals MONEL 404 Copper-Nickel Alloy;8.91;169.0
Special Metals DURANICKEL 301 (UNS N03301) Hot-Finished Rod and Bar;8.19;207.0
California Fine Wire Permanickel K-300 Nickel Alloy;8.75;207.0
Special Metals INCONEL alloy 693;7.77;196.0
Special Metals INCONEL Alloy N06230 Ni-Cr-W-Mo Alloy;8.91;212.0
Special Metals INCONEL alloy 22 Austenitic Alloy;8.61;209.0
Special Metals INCOLOY alloy 803 Fe-Ni-Cr Alloy;7.86;195.0
Special Metals INCOLOY alloy 864;8.02;195.0
Special Metals INCOLOY alloy 890 Ni-Cr-Fe Superalloy;7.94;195.0
Special Metals INCOLOY Alloy 945 Nickel-Iron-Chromium Alloy, Annealed and Aged Rod (UNS N09945);8.2;195.0
Special Metals INCOLOY Alloy 945X Nickel-Iron-Chromium Alloy, Annealed and Aged Rod (UNS N09945);8.27;203.0
ATI Allegheny Ludlum AL 625HP™ Stainless Steel;8.44;205.0
ATI Allegheny Ludlum Altemp 263 Nickel-Based alloy;8.36;220.0
ATI Allegheny Ludlum Altemp HX Nickel-Based superalloy;8.22;196.0
ATI Allegheny Ludlum Altemp X-750 Nickel-Based superalloy;8.25;214.0
ATI Allegheny Ludlum AL 200™ Nickel Alloy, UNS N02200;8.9;207.0
ATI Allegheny Ludlum AL 22™ Nickel-Base Alloy, UNS N06022;8.62;207.0
ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy, UNS N10276;8.9;205.0
ATI Allegheny Ludlum AL 400™ Nickel-Base Alloy, Annealed Plate, Sheet, and Strip, UNS N04400;8.83;180.0
ATI Allegheny Ludlum AL 601™ Nickel-Base Alloy, Annealed at 982°C (1800°F), UNS N06601;8.05;205.0
ATI Allegheny Ludlum Altemp 718 Nickel-Base Superalloy, Solution Treated Sheet and Strip, UNS N07718;8.19;200.0
ATI Allegheny Ludlum Altemp 718 Nickel-Base Superalloy, Solution Treated plus Precipitation Heat Treated, UNS N07718;8.22;200.0
ATI Allegheny Ludlum AL 825™ Nickel Alloy;8.13;195.0
NiCoForm NiColoy E Electroformed Nickel-Cobalt;8.89;122.0
PSM Industries Pacific Sintered Metals FN-250-S Nickel Iron Powdered Metal (MPIF FN-0200-20);7.0;138.0
PSM Industries Pacific Sintered Metals FN-255-S Nickel Steel Powdered Metal (MPIF FN-0200-25);7.0;131.0
PSM Industries Pacific Sintered Metals FN-262-T High Strength Nickel Steel Powdered Metal (MPIF FN-0405-45);7.3;165.0
PSM Industries Pacific Sintered Metals FN-262-T(HT) High Strength Nickel Steel Powdered Metal (MPIF FN-0408-155HT);7.3;159.0
Aperam Permimphy SP Cold Rolled Strip;8.7;230.0
Aperam Supermimphy L Cold Rolled Strip;8.7;220.0
HP Alloys Alloy 718, 0% Cold Worked, Not Aged;8.2;200.0
HP Alloys Alloy B-2, Solution Treated, 10% Cold Worked;9.22;217.0
Sandvik Thermothal P Thermocouple;8.72;200.0
Sandvik Sanicro 70 Billet;8.4;214.0
Sandvik Kanthal SW 821 Spray Wire;8.8;178.0
Sandvik 75X1 Spring Wire;8.3;198.0
Sandvik Kanthal Thermothal N Thermocouple wire;8.6;194.0
Nickel Alloy 59, UNS N06059;8.6;210.0
Nimonic 942 Nickel Alloy;8.19;196.0
Incoloy 807 Nickel Alloy;8.32;184.0
Niobium C-129Y (80Nb-10W-10Hf-0.1Y);9.5;112.0
Niobium Cb-752 (Nb-10W-2.5Zr);9.03;110.0
Niobium FS-85 (Nb-28Ta-10W-1Zr), Stress Relieved;10.6;140.0
WC-3009 Niobium Alloy;10.1;123.0
ATI Wah Chang Nb/Nb Alloy C-103;8.86;90.0
ATI Wah Chang Nb/Nb Alloy Nb-I ZR;8.58;69.0
H.C. Starck Pure Niobium (Columbium);8.47;103.0
Gold, Au;19.3;77.2
Morgan Advanced Ceramics Nioro™ ABA Mac-Nioro™ABA-WM Braze Alloy;15.8;112.0
HGC-2 Precious dental alloy;16.25;93.5
HGC-4 Precious dental alloy;16.2;103.5
HGC-3-C Precious dental alloy;18.95;102.5
HGC-4-C Precious dental alloy;17.4;107.5
LGC-4 Precious dental alloy;13.1;100.0
Pd-4-C Precious dental alloy;11.7;124.0
Commercial Fine Gold, Cast;19.3;74.5
Commercial Fine Gold, Wrought then Annealed;19.3;79.9
Commercial Fine Gold, 60% Reduction;19.3;79.3
Gold-Platinum Alloy (70Au-30Pt), Annealed at 1095°C (2000°F) then Air-Cooled;19.9;114.0
Indium Corp. Indalloy 182 Au-Sn Solder Alloy;14.5;59.1
Indium Corp. Indalloy 183 Au-Ge Solder Alloy;14.7;72.7
Indium Corp. Indalloy 184 Gold Solder Alloy;15.4;83.0
Wieland Portalloy 54 PFM Alloy;13.8;120.0
Wieland Porta Geo Ti PFM Alloy;18.5;109.0
Wieland Porta Optimum PFM Alloy;16.0;100.0
Wieland Porta P6 PFM Alloy;18.0;108.0
Wieland Porta SMK 82 PFM Alloy;15.0;120.0
Wieland BioPorta G PFM Alloy;18.8;103.0
Wieland Porta Maximum PFM Alloy;16.0;98.0
Wieland Euro 50 PFM Alloy;14.1;114.0
Wieland Porta Maximum NF PFM Alloy;15.4;110.0
Wieland Porta PressOver PFM Alloy;14.9;101.0
Wieland Porta REFLEX PFM Alloy;18.8;107.0
Wieland Auropal 50 Casting Alloy;13.4;104.0
Wieland Portagold Casting Alloy;16.3;92.0
Wieland Portadur P2 Casting Alloy;15.3;98.0
Wieland BioPortadur Casting Alloy;18.2;99.0
Wieland Porta AB 76 Casting Alloy;18.5;102.0
Wieland Portadur T Casting Alloy;15.9;95.0
Wieland Auropal 1 Casting Alloy;14.3;101.0
Wieland Auropal 2 Casting Alloy;13.8;104.0
Alfa Chemistry Materials Chromium single crystal disc, (111) orientation;7.18;279.0
Palladium, Pd;12.0;117.0
Palladium, CP Grade, Annealed at 800°C;12.0;112.0
95.5Pd-4.5Ru Alloy, Annealed;12.1;141.0
Wieland Duo Pal 6 PFM Alloy;11.6;116.0
Wieland Simidur S 1S PFM Alloy;11.3;126.0
Wieland Simidur S 2 PFM Alloy;11.2;122.0
Wieland Simidur KF Plus PFM Alloy;10.5;120.0
Wieland Eco E4 Casting Alloy;10.9;96.0
Platinum, Pt, CP Grade, Annealed;21.5;171.0
Platinum, Pt, CP Grade, Hard Drawn - 50% Cold Worked;21.5;156.0
Pt-10% Ni Alloy, Annealed;20.2;170.0
California Fine Wire Platinum- 8%Tungsten Alloy (Alloy 436);21.2;138.0
Silver, Ag;10.5;76.0
Morgan Advanced Ceramics Incusil™ Mac-Incusil™ ABA-WM Braze Alloy;9.69;76.0
Morgan Advanced Ceramics Cusil™ Mac-Cusil™-WM Braze Alloy;9.99;83.0
Silver-Magnesium-Nickel Alloy Strip (Ag-0.25Ni-0.25Mg), Soft Temper;10.5;83.0
Sterling Silver, Cold Drawn then Annealed at 250°C (480°F);10.4;75.0
NBE nanoTach Nano-Silver Paste, Lead-Free Solder Alternative;5.7;20.0
Wieland Porta Aurium PFM Alloy;14.7;103.0
Wieland Porta Aurium 2 PFM Alloy;14.2;105.0
Wieland Simidur A PFM Alloy;10.6;95.0
Tin, Sn;6.53;42.95
60-40 Soft Solder (60 Sn-40Pb) Tin-Lead Soft Solder (UNS L13600);8.52;30.0
Tin-Lead Solder (UNS L13700);8.32;35.0
Tin Die-Casting Alloy (UNS L13913);7.34;50.0
Tin-Antimony Solder (UNS L13940);7.25;50.0
Pewter, Annealed Sheet;7.28;53.0
Tin, ASTM B 23 Babbitt Alloy 3 (UNS L13840);7.46;52.0
Electrolytic (AAA) (Extra High Purity), Chill-Cast Tin;7.28;49.9
Indium Corp. Indalloy 227 Sn-In-Ag Solder Alloy;7.25;38.6
Indium Corp. Indalloy 246 95.5Sn/4.0Ag/0.5Cu Lead-Free Solder Alloy;7.4;17.9
Indium Corp. Indalloy 256 96.5Sn/3.0Ag/0.5Cu Lead-Free Solder Alloy;7.4;16.6
Indium Corp. Indalloy 213 Tin-Lead Solder Alloy;8.43;30.0
